類別,醫院/診所名稱,住址,電話,Google Maps
外科,羅倫檭診所,台中市南區仁和路185號,04-22871048,https://www.google.com/maps/search/?api=1&query=%E7%BE%85%E5%80%AB%E6%AA%AD%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E4%BB%81%E5%92%8C%E8%B7%AF185%E8%99%9F
外科,薇風整形外科診所,台中市南區工學路8之3號,04-22607228,https://www.google.com/maps/search/?api=1&query=%E8%96%87%E9%A2%A8%E6%95%B4%E5%BD%A2%E5%A4%96%E7%A7%91%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E5%B7%A5%E5%AD%B8%E8%B7%AF8%E4%B9%8B3%E8%99%9F
骨科/聯合,台全聯合診所（眼科、皮膚科、骨科）,台中市西區三民路一段166號,04-22276000,https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E5%85%A8%E8%81%AF%E5%90%88%E8%A8%BA%E6%89%80%EF%BC%88%E7%9C%BC%E7%A7%91%E3%80%81%E7%9A%AE%E8%86%9A%E7%A7%91%E3%80%81%E9%AA%A8%E7%A7%91%EF%BC%89%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E8%A5%BF%E5%8D%80%E4%B8%89%E6%B0%91%E8%B7%AF%E4%B8%80%E6%AE%B5166%E8%99%9F
皮膚科,醫世紀診所,台中市西區美村路一段795號,04-23720286,https://www.google.com/maps/search/?api=1&query=%E9%86%AB%E4%B8%96%E7%B4%80%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E8%A5%BF%E5%8D%80%E7%BE%8E%E6%9D%91%E8%B7%AF%E4%B8%80%E6%AE%B5795%E8%99%9F
家醫科,慶燿診所,台中市南區國光路241號,04-22872877,https://www.google.com/maps/search/?api=1&query=%E6%85%B6%E7%87%BF%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E5%9C%8B%E5%85%89%E8%B7%AF241%E8%99%9F
家醫科,恆宇診所,台中市南區國光路241號1樓,04-22872877,https://www.google.com/maps/search/?api=1&query=%E6%81%86%E5%AE%87%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E5%9C%8B%E5%85%89%E8%B7%AF241%E8%99%9F1%E6%A8%93
家醫科,富台診所,台中市東區富台街62號,04-22111611,https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%8F%B0%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E6%9D%B1%E5%8D%80%E5%AF%8C%E5%8F%B0%E8%A1%9762%E8%99%9F
家醫科,禾安診所,台中市豐原區永康路312號,04-25231588,https://www.google.com/maps/search/?api=1&query=%E7%A6%BE%E5%AE%89%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E8%B1%90%E5%8E%9F%E5%8D%80%E6%B0%B8%E5%BA%B7%E8%B7%AF312%E8%99%9F
耳鼻喉科,欣欣成人小兒耳鼻喉科,台中市南區美村南路34號,04-22653777,https://www.google.com/maps/search/?api=1&query=%E6%AC%A3%E6%AC%A3%E6%88%90%E4%BA%BA%E5%B0%8F%E5%85%92%E8%80%B3%E9%BC%BB%E5%96%89%E7%A7%91%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E7%BE%8E%E6%9D%91%E5%8D%97%E8%B7%AF34%E8%99%9F
耳鼻喉科,白耳鼻喉科診所,台中市南區學府路152號,04-22220600,https://www.google.com/maps/search/?api=1&query=%E7%99%BD%E8%80%B3%E9%BC%BB%E5%96%89%E7%A7%91%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E5%AD%B8%E5%BA%9C%E8%B7%AF152%E8%99%9F
胸腔內科,李榮龍內科診所,台中市南區台中路518號,04-22875252,https://www.google.com/maps/search/?api=1&query=%E6%9D%8E%E6%A6%AE%E9%BE%8D%E5%85%A7%E7%A7%91%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E5%8F%B0%E4%B8%AD%E8%B7%AF518%E8%99%9F
內科,永佳診所,台中市南區美村路二段156號,04-22655226,https://www.google.com/maps/search/?api=1&query=%E6%B0%B8%E4%BD%B3%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E7%BE%8E%E6%9D%91%E8%B7%AF%E4%BA%8C%E6%AE%B5156%E8%99%9F
內科,豐田診所,台中市南區建成路1848號,04-22850066,https://www.google.com/maps/search/?api=1&query=%E8%B1%90%E7%94%B0%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E5%BB%BA%E6%88%90%E8%B7%AF1848%E8%99%9F
牙科,新生牙醫診所,台中市南區仁和路275號,04-22875153,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E7%94%9F%E7%89%99%E9%86%AB%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E4%BB%81%E5%92%8C%E8%B7%AF275%E8%99%9F
牙科,澄新牙醫診所,台中市南區學府路58號,04-22859898,https://www.google.com/maps/search/?api=1&query=%E6%BE%84%E6%96%B0%E7%89%99%E9%86%AB%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E5%AD%B8%E5%BA%9C%E8%B7%AF58%E8%99%9F
牙科,宜康牙醫診所,台中市南區國光路206號,04-22852908,https://www.google.com/maps/search/?api=1&query=%E5%AE%9C%E5%BA%B7%E7%89%99%E9%86%AB%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E5%9C%8B%E5%85%89%E8%B7%AF206%E8%99%9F
牙科,嘉仁牙醫診所,台中市南區復興路三段272號,04-22205114,https://www.google.com/maps/search/?api=1&query=%E5%98%89%E4%BB%81%E7%89%99%E9%86%AB%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E5%BE%A9%E8%88%88%E8%B7%AF%E4%B8%89%E6%AE%B5272%E8%99%9F
中醫,新世代中醫診所,台中市東區台中路77號1、2樓,04-22212758,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E4%B8%96%E4%BB%A3%E4%B8%AD%E9%86%AB%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E6%9D%B1%E5%8D%80%E5%8F%B0%E4%B8%AD%E8%B7%AF77%E8%99%9F1%E3%80%812%E6%A8%93
中醫,酉安中醫診所,台中市南區美村路113號,04-22621211,https://www.google.com/maps/search/?api=1&query=%E9%85%89%E5%AE%89%E4%B8%AD%E9%86%AB%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E7%BE%8E%E6%9D%91%E8%B7%AF113%E8%99%9F
中醫,祥鶴中醫診所,台中市東區大智路294號,04-22802968,https://www.google.com/maps/search/?api=1&query=%E7%A5%A5%E9%B6%B4%E4%B8%AD%E9%86%AB%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E6%9D%B1%E5%8D%80%E5%A4%A7%E6%99%BA%E8%B7%AF294%E8%99%9F
中醫,北大中醫診所,台中市南區興大路430號,04-22857779,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E5%A4%A7%E4%B8%AD%E9%86%AB%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E8%88%88%E5%A4%A7%E8%B7%AF430%E8%99%9F
眼科,明選眼科診所,台中市南區高工路266巷3號,04-22606951,https://www.google.com/maps/search/?api=1&query=%E6%98%8E%E9%81%B8%E7%9C%BC%E7%A7%91%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E9%AB%98%E5%B7%A5%E8%B7%AF266%E5%B7%B73%E8%99%9F
眼科,達明眼科醫院,台中市大里區中興路二段490號,04-24851437,https://www.google.com/maps/search/?api=1&query=%E9%81%94%E6%98%8E%E7%9C%BC%E7%A7%91%E9%86%AB%E9%99%A2%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%A4%A7%E9%87%8C%E5%8D%80%E4%B8%AD%E8%88%88%E8%B7%AF%E4%BA%8C%E6%AE%B5490%E8%99%9F
身心科,漸漸身心診所,台中市東區復興路四段152號,04-22221368,https://www.google.com/maps/search/?api=1&query=%E6%BC%B8%E6%BC%B8%E8%BA%AB%E5%BF%83%E8%A8%BA%E6%89%80%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E6%9D%B1%E5%8D%80%E5%BE%A9%E8%88%88%E8%B7%AF%E5%9B%9B%E6%AE%B5152%E8%99%9F
