類別,醫院/診所名稱,優惠對象,特色醫療,優惠項目,住址,電話,Google Maps
外科,薇風整形外科診所,教職員工、學生,整型美容外科各項手術、皮膚外科、腫瘤切除及皮膚病、雷射醫學美容、電音波拉皮、皮秒雷射、飛梭雷射、外傷縫合換藥,門診免收掛號費。需自付部分負擔。自費手術九五折優惠,臺中市南區工學路8之3號,04-22607228,https://www.google.com/maps/search/?api=1&query=薇風整形外科診所
骨科,台全聯合診所（眼科、皮膚科、骨科）,教職員工、學生,眼科：屈光雷射手術、配鏡服務、眼睛健檢。皮膚科：美容醫學。骨科：骨科診療,眼科：屈光雷射手術享優惠價格、配鏡隱形眼鏡及角塑片享優惠價格、眼睛健檢服務享優惠價格。皮膚科：門診免收掛號費、需自付部分負擔50元、美容醫學享活動優惠價。骨科：門診免收掛號費、需自付部分負擔50元,臺中市西區三民路一段166號,04-22276000,https://www.google.com/maps/search/?api=1&query=台全聯合診所
皮膚科,醫世紀診所,教職員工、學生,專治青春痘（送痘痘療程）、打耳洞、除痣、點滴療程、醫美治療、皮膚病、感冒、腸胃炎、過敏,門診掛號費優待50元。需自付部分負擔。打耳洞、除痣、點滴療程、醫美治療九折優惠,臺中市西區美村路一段795號,04-23720286,https://www.google.com/maps/search/?api=1&query=醫世紀診所
家醫科,慶燿診所,教職員工、學生,過敏、氣喘、咳嗽、一般皮膚病、青春痘、小兒一般疾病、過敏氣喘、體重控制、高血壓、糖尿病、高血脂、高尿酸、失眠、焦慮,門診免收掛號費。需自付部分負擔,臺中市南區國光路241號,04-22872877,https://www.google.com/maps/search/?api=1&query=慶燿診所
家醫科,恆宇診所,教職員工、學生,過敏、氣喘、咳嗽、一般皮膚病、青春痘、小兒一般疾病、過敏氣喘、體重控制、高血壓、糖尿病、高血脂、高尿酸、失眠、焦慮,門診免收掛號費。需自付部分負擔,臺中市南區國光路241號1樓,04-22872877,https://www.google.com/maps/search/?api=1&query=恆宇診所
家醫科,富台診所,教職員工、學生,家庭醫學、疫苗施打、自費健康檢查,門診免收掛號費。需自付部分負擔,臺中市東區富台街62號,04-22111611,https://www.google.com/maps/search/?api=1&query=富台診所
家醫科,禾安診所,教職員工、學生,家庭醫學、老年醫學、職業傷病診斷諮詢、急慢性疾病治療、健康檢查、報告諮詢,門診免收掛號費。需自付部分負擔,臺中市豐原區永康路312號,04-25231588,https://www.google.com/maps/search/?api=1&query=禾安診所
耳鼻喉科,欣欣成人小兒耳鼻喉科,教職員工、學生,耳鼻喉治療台、超音波噴霧呼吸治療機、鼻咽內視鏡,門診免收掛號費。需自付部分負擔,臺中市南區美村南路34號,04-22653777,https://www.google.com/maps/search/?api=1&query=欣欣成人小兒耳鼻喉科
耳鼻喉科,白耳鼻喉科診所,教職員工、學生,耳鼻喉疾病、鼻內手術、異物取出、內視鏡檢查、癌篩、戒菸治療、疫苗注射、慢性病控制、自費針灸療程,門診掛號費優待50元。需自付部分負擔,臺中市南區學府路152號,04-22220600,https://www.google.com/maps/search/?api=1&query=白耳鼻喉科診所
胸腔內科,李榮龍內科診所,教職員工、學生,家醫科、胸腔內科,門診免收掛號費。需自付部分負擔,臺中市南區台中路518號,04-22875252,https://www.google.com/maps/search/?api=1&query=李榮龍內科診所
內科,永佳診所,教職員工、學生,內科、肝膽腸胃專科、家醫專科、胃鏡、大腸鏡、腹部超音波、乳房超音波（女醫師）、抽血、尿液檢查,門診免收掛號費。需自付部分負擔,臺中市南區美村路二段156號,04-22655226,https://www.google.com/maps/search/?api=1&query=永佳診所
內科,豐田診所,教職員工、學生,一般內科、肝膽腸胃專科、心臟專科、舒眠胃腸鏡檢查、超音波檢查、X光檢查、自費健檢、公務人員健檢、勞工健檢、減重服務,門診免收掛號費。需自付部分負擔。自費全身健康檢查費用給予九五折優惠,臺中市南區建成路1848號,04-22850066,https://www.google.com/maps/search/?api=1&query=豐田診所
牙科,新生牙醫診所,教職員工、學生,一般牙科健檢治療、視病如親、醫師全程處理,門診免收掛號費。需自付部分負擔。看診請先預約,臺中市南區仁和路275號,04-22875153,https://www.google.com/maps/search/?api=1&query=新生牙醫診所
牙科,澄新牙醫診所,教職員工、學生,家庭牙醫、贋覆假牙、智齒拔除、植牙、牙齒美白、兒童牙科、矯正（戴蒙矯正、隱適美go前牙方案、Smartee隱形矯正、MRC肌功能矯正）,門診免收掛號費。需自付部分負擔。看診請先預約,臺中市南區學府路58號,04-22859898,https://www.google.com/maps/search/?api=1&query=澄新牙醫診所
牙科,宜康牙醫診所,教職員工、學生、教職員工配偶及直系眷屬、退休人員、退休人員配偶及其直系眷屬,一般牙科健檢治療、齒顎矯正、人工植牙、固定及活動假牙、牙周治療及手術,門診免收掛號費。需自付部分負擔。看診請先預約,臺中市南區國光路206號,04-22852908,https://www.google.com/maps/search/?api=1&query=宜康牙醫診所
牙科,嘉仁牙醫診所,教職員工、學生,一般牙科健檢治療、視病如親、醫師全程處理,門診免收掛號費。需自付部分負擔。看診請先預約,臺中市南區復興路三段272號,04-22205114,https://www.google.com/maps/search/?api=1&query=嘉仁牙醫診所
中醫,新世代中醫診所,教職員工、學生,中醫一般門診、針灸、傷科處理、婦科、兒科、調養身體、復健、整復拔罐、刮痧,門診免收掛號費。需自付部分負擔50元。傷科推拿額外收50元,臺中市東區台中路77號1、2樓,04-22212758,https://www.google.com/maps/search/?api=1&query=新世代中醫診所
中醫,酉安中醫診所,教職員工、學生,內科：感冒、咳嗽、皮膚病、糖尿病。婦兒科：月經不調痛經、不孕症。針傷科：筋骨痠痛、坐骨神經痛,門診免收掛號費。需自付部分負擔,臺中市南區美村路113號,04-22621211,https://www.google.com/maps/search/?api=1&query=酉安中醫診所
中醫,祥鶴中醫診所,教職員工、學生,運動傷害、經期調理、腸胃、感冒、眼科、拔罐、放血、整脊等,門診免收掛號費。需自付部分負擔。自費產品予以折扣優惠,臺中市東區大智路294號,04-22802968,https://www.google.com/maps/search/?api=1&query=祥鶴中醫診所
中醫,北大中醫診所,教職員工、學生,內科：慢性病（壽美降脂）、睡眠、中風、婦科、小孩成長配方。傷科：運動傷害、職業傷害、針灸、電療、拔罐,門診免收掛號費。需自付部分負擔,臺中市南區興大路430號,04-22857779,https://www.google.com/maps/search/?api=1&query=北大中醫診所
眼科,明選眼科診所,教職員工、學生,一般眼科看診、白內障手術、青光眼、兒童視力保健、斜弱視矯正、糖尿病、視網膜病變,門診免收掛號費。需自付部分負擔,臺中市南區高工路266巷3號,04-22606951,https://www.google.com/maps/search/?api=1&query=明選眼科診所
眼科,達明眼科醫院,教職員工、學生,眼科、復健科、內科、肝膽腸胃科、醫學美容,門診免收掛號費。需自付部分負擔。兒童近視控制角膜塑型片折價1000元（以度數論價）。配鏡優惠折價500元（特價品除外）。醫美自費產品、各項療程九折優惠（特價品除外）。復健科各式護具九五折,臺中市大里區中興路二段490號,04-24851437,https://www.google.com/maps/search/?api=1&query=達明眼科醫院
身心科,漸漸身心診所,教職員工、學生,本院位於台中火車站對面、大魯閣新時代旁。提供健保看診及自費成人專注力測驗、心理諮商服務,門診免收掛號費。需自付部分負擔,臺中市東區復興路四段152號,04-22221368,https://www.google.com/maps/search/?api=1&query=漸漸身心診所
